Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201710,Riverside,939.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,73.1,9,260
201710,Nevada,916.0,0.0,0.0,61.0,4.0,24475500.0,-1.76,0.95,55.8,296,10
201706,Losangeles,1681.0,0.0,0.0,0.0,0.0,0.0,-2.72,0.03,73.8,7,270
201708,Sanluisobispo,1305.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.01,75.4,0,321
201707,Sierra,747.0,0.0,0.0,0.0,0.0,0.0,-1.26,0.04,67.8,32,119
201707,Tuolumne,814.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.01,70.7,14,192
201709,Mariposa,690.0,0.0,0.0,2.0,0.0,598000.0,-0.47,0.91,65.8,61,85
201706,Mariposa,693.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.29,69.3,31,161
201706,Modoc,604.0,0.0,0.0,0.0,0.0,0.0,-0.76,0.96,61.6,145,42
201705,Kern,895.0,0.0,0.0,0.0,0.0,0.0,0.36,0.18,67.0,70,132
201707,Sanbernardino,968.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.35,90.1,0,777
201706,Fresno,1069.0,0.0,0.0,0.0,0.0,0.0,0.46,0.09,70.0,25,174
201709,Santabarbara,444.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.44,68.7,17,129
201710,Eldorado,455.0,0.0,0.0,0.0,0.0,0.0,-1.48,0.78,57.5,248,17
201707,Sandiego,655.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.1,78.9,0,432
201708,Nevada,392.0,1.0,0.0,0.0,1.0,187500.0,-1.44,0.2,72.7,7,245
201710,Santacruz,391.0,1.0,0.0,6.0,0.0,5202000.0,-1.71,0.21,62.4,101,21
201704,Modoc,380.0,0.0,0.0,0.0,0.0,0.0,2.73,2.51,42.0,692,0
